Drug A,Drug B,nAB1,Lift,Conviction
Diclofenac sodium,Phenobarbital,3,15.254,1.012
Cefcapene Pivoxil Hydrochloride Hydrate,Ibuprofen,3,15.203,1.015
Ketoprofen,Loxoprofen sodium hydrate,3,14.985,1.001
Acetaminophen,Oseltamivir phosphate,7,14.97,1.013
Azithromycin Hydrate,Levofloxacin hydrate,7,14.831,1.009
Imidapril Hydrochloride,aspirin,3,14.706,1.002
Lansoprazole,Sulfamethoxazole-trimethoprim,4,14.56,1.006
Carbamazepine,Tocopherol Nicotinate,3,14.354,1.01
Sodium Ferrous Citrate,Valsartan,3,14.299,1.003
Phenobarbital,Voglibose,3,14.151,1.005
Loxoprofen sodium hydrate,Nitroglycerin,8,14.115,1.022
Cefcapene Pivoxil Hydrochloride Hydrate,Non-pirin cold medicine (4),8,13.736,1.014
Acetaminophen,Cefdinir,3,13.678,1.012
Acetaminophen,Mosapride Citrate Hydrate,6,13.62,1.012
Extract from inflamed skin of rabbits inoculated with vaccinia virus,Loxoprofen sodium hydrate,6,13.093,1.003
Indapamide,Loxoprofen sodium hydrate,10,12.86,1.005
Cefcapene Pivoxil Hydrochloride Hydrate,Oseltamivir phosphate,6,12.726,1.013
Famotidine,Phenytoin,3,12.605,1.008
Acetaminophen,Cefcapene Pivoxil Hydrochloride Hydrate,6,12.58,1.011
Furosemide,Mosapride Citrate Hydrate,5,12.5,1.009
Cefcapene Pivoxil Hydrochloride Hydrate,Misoprostol,3,12.123,1.012
Diclofenac sodium,Metoclopramide hydrochloride,3,12.081,1.009
Clarithromycin,L-Carbocysteine,6,12.077,1.007
Furosemide,Metoclopramide hydrochloride,3,11.905,1.009
Furosemide,Phenytoin,3,11.867,1.009
Acetaminophen,Cefepime hydrochloride hydrate,3,11.817,1.01
Nicorandil,aspirin,4,11.716,1.002
Isosorbide mononitrate,Loxoprofen sodium hydrate,10,11.714,1.005
Allopurinol,Nicorandil,5,11.673,1.009
Acetaminophen,Tranexamic acid,4,11.646,1.01
Eperisone hydrochloride,Loxoprofen sodium hydrate,3,11.381,1.001
Amoxicillin hydrate,Clarithromycin,3,11.379,1.004
Allopurinol,Sodium Ferrous Citrate,4,11.215,1.009
Amoxicillin hydrate,L-Carbocysteine,3,11.162,1.004
Carvedilol,Furosemide,3,11.106,1.001
Carbamazepine,Phenytoin,3,11.027,1.007
Flomoxef sodium,Loxoprofen sodium hydrate,10,10.978,1.005
Azithromycin Hydrate,Oseltamivir phosphate,3,10.976,1.007
Diltiazem hydrochloride,Loxoprofen sodium hydrate,10,10.922,1.005
Mizoribine,Prednisolone,3,10.563,1.001
Alfacalcidol,Valsartan,3,10.475,1.003
Pravastatin Sodium,Teprenone,3,10.309,1.002
Alendronate sodium hydrate,Prednisolone,3,10.285,1.001
Cefcapene Pivoxil Hydrochloride Hydrate,Tranexamic acid,4,10.246,1.01
Diclofenac sodium,Piperacillin Sodium,3,10.198,1.008
Cefepime hydrochloride hydrate,Sodium valproate,3,10.172,1.005
Phenobarbital,Warfarin potassium,3,10.121,1.004
Roxatidine Acetate Hydrochloride,aspirin,3,9.836,1.002
Furosemide,Piperacillin Sodium,3,9.715,1.007
Minocycline hydrochloride,Valsartan,3,9.634,1.003
Cefepime hydrochloride hydrate,Loxoprofen sodium hydrate,10,9.542,1.005
Diclofenac sodium,Non-pirin cold medicine (4),4,9.125,1.007
Candesartan Cilexetil,Loxoprofen sodium hydrate,11,9.117,1.005
Cefmetazole Sodium,Furosemide,4,9.099,1.002
Itraconazole,Teprenone,3,9.023,1.002
Candesartan Cilexetil,Sodium valproate,3,8.993,1.005
Allopurinol,Isoniazid,3,8.759,1.007
Amlodipine besylate,Glibenclamide,3,8.535,1.005
Itraconazole,aspirin,3,8.503,1.002
Nicardipine hydrochloride,aspirin,3,8.498,1.002
Amlodipine besylate,Sodium valproate,3,8.414,1.005
Azithromycin Hydrate,Loxoprofen sodium hydrate,11,8.354,1.005
Furosemide,Sodium Ferrous Citrate,3,8.224,1.006
Famotidine,Non-pirin cold medicine (4),3,7.907,1.005
Isoniazid,Teprenone,3,7.812,1.002
Allopurinol,Cefcapene Pivoxil Hydrochloride Hydrate,3,7.725,1.006
Famotidine,Mosapride Citrate Hydrate,3,7.722,1.005
Bucillamine,Prednisolone,3,7.711,1.001
Famotidine,Meropenem hydrate,3,7.694,1.005
Allopurinol,Carvedilol,3,7.611,1.006
Cefcapene Pivoxil Hydrochloride Hydrate,Vancomycin hydrochloride,3,7.382,1.007
Furosemide,Valsartan,7,7.353,1.005
Furosemide,Meropenem hydrate,3,7.324,1.005
Phenobarbital,Valsartan,3,7.31,1.003
Famotidine,Sodium valproate,3,7.252,1.004
Diclofenac sodium,Glimepiride,3,7.073,1.005
Levofloxacin hydrate,Non-pirin cold medicine (4),3,7.062,1.005
Prednisolone,Sulfamethoxazole-trimethoprim,5,7.059,1.005
Amlodipine besylate,Candesartan Cilexetil,5,7.049,1.004
Clarithromycin,Levofloxacin hydrate,3,6.859,1.004
Furosemide,Nicorandil,3,6.818,1.005
Furosemide,Lansoprazole,5,6.551,1.004
Diclofenac sodium,Voglibose,3,6.486,1.005
Loxoprofen sodium hydrate,Non-pirin cold medicine (4),6,6.279,1.009
Amlodipine besylate,Losartan Potassium,3,6.241,1.003
Loxoprofen sodium hydrate,Misoprostol,3,6.122,1.008
Leflunomide,Prednisolone,3,6.081,1.001
Allopurinol,Furosemide,11,5.997,1.004
Candesartan Cilexetil,Etizolam,3,5.624,1.003
Clarithromycin,Lansoprazole,3,5.549,1.003
Levofloxacin hydrate,Loxoprofen sodium hydrate,9,5.512,1.004
Amlodipine besylate,aspirin,6,5.377,1.003
Furosemide,Theophylline,3,5.319,1.003
Allopurinol,Valsartan,5,5.249,1.004
Sodium valproate,Valsartan,3,5.1,1.002
Allopurinol,aspirin,7,4.991,1.003
Amlodipine besylate,Valsartan,4,4.825,1.002
Valsartan,aspirin,4,4.779,1.002
Diclofenac sodium,Warfarin potassium,3,4.756,1.003
Carbamazepine,Nifedipine,3,4.718,1.003
Phenytoin sodium,Prednisolone,3,4.704,1.001
Itraconazole,Prednisolone,3,4.657,1.001
Diclofenac sodium,Levofloxacin hydrate,3,4.657,1.003
Non-pirin cold medicine (4),Ticlopidine hydrochloride,3,4.557,1.003
Cefmetazole Sodium,Famotidine,3,4.494,1.001
Furosemide,Spironolactone,4,4.464,1.003
Amlodipine besylate,Furosemide,6,4.408,1.002
Loxoprofen sodium hydrate,Oseltamivir phosphate,3,4.281,1.005
Cefcapene Pivoxil Hydrochloride Hydrate,Loxoprofen sodium hydrate,9,4.142,1.003
Furosemide,aspirin,6,4.141,1.003
Diclofenac sodium,Loxoprofen sodium hydrate,7,3.946,1.002
Cefepime hydrochloride hydrate,aspirin,3,3.735,1.001
Sodium valproate,Teprenone,3,3.713,1.002
Cefcapene Pivoxil Hydrochloride Hydrate,L-Carbocysteine,3,3.701,1.003
Sodium valproate,aspirin,3,3.49,1.001
Allopurinol,Teprenone,4,3.177,1.002
Lansoprazole,Prednisolone,4,3.129,1.001
Famotidine,Furosemide,5,3.111,1.001
General cold medicine (over-the-counter medicine),Loxoprofen sodium hydrate,3,3.091,1.001
Loxoprofen sodium hydrate,Rebamipide,8,3.088,1.003
Candesartan Cilexetil,aspirin,3,3.04,1.001
Loxoprofen sodium hydrate,Teprenone,8,2.812,1.003
Non-pirin cold medicine (4),Teprenone,3,2.549,1.001
Diclofenac sodium,Rebamipide,3,2.521,1.001
Allopurinol,Loxoprofen sodium hydrate,4,2.367,1.001
Allopurinol,Amlodipine besylate,4,2.165,1.001
Loxoprofen sodium hydrate,Mecobalamin,3,2.059,1.002
Cefcapene Pivoxil Hydrochloride Hydrate,Diclofenac sodium,3,2.057,1.001
Loxoprofen sodium hydrate,Nifedipine,3,1.999,1.002
Prednisolone,Teprenone,3,1.954,1.001
Phenytoin,Prednisolone,4,1.9,1.001
Famotidine,Prednisolone,4,1.734,1.001
Furosemide,Prednisolone,3,1.27,1.0
Allopurinol,Prednisolone,3,1.257,1.0
Diclofenac sodium,Prednisolone,3,1.171,1.0
