antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Folic acid, Loxoprofen sodium hydrate",frozenset({'Methotrexate'}),0.0032333333333333333,0.0462,0.0031333333333333335,0.9690721649484536,20.975587985897263,1.0,0.0029839533333333333,30.839533333333332,0.9554147061313851,0.06767458603311736,0.9675740878050467,0.5184466163847608
"Folic acid, Prednisolone",frozenset({'Methotrexate'}),0.0077666666666666665,0.0462,0.007633333333333333,0.9828326180257511,21.273433290600675,1.0,0.007274513333333333,55.55884999999996,0.9604525277324923,0.1647482014388489,0.9820010673367069,0.5740281416247082
"Folic acid, Methotrexate",frozenset({'Prednisolone'}),0.0092,0.091,0.007633333333333333,0.8297101449275363,9.117693900302596,1.0,0.006796133333333333,5.337957446808511,0.89859017370287,0.08246308966510624,0.8126624256628562,0.4567964644051601
Folic acid,"frozenset({'Prednisolone', 'Methotrexate'})",0.009766666666666667,0.0283,0.007633333333333333,0.7815699658703071,27.617313281636296,1.0,0.007356936666666667,4.448564062499999,0.9732966940731039,0.25082146768893754,0.7752083625299034,0.5256495294604775
"Spironolactone, Warfarin potassium",frozenset({'Furosemide'}),0.004433333333333333,0.0622,0.0035666666666666668,0.8045112781954887,12.934264922757054,1.0,0.0032909133333333335,4.797207692307692,0.9267947714618923,0.05655391120507399,0.7915454022131464,0.4309265930098558
"Spironolactone, aspirin",frozenset({'Furosemide'}),0.004733333333333333,0.0622,0.0033333333333333335,0.7042253521126761,11.32195099859608,1.0,0.00303892,3.1706571428571433,0.9160117891352401,0.05241090146750524,0.6846079677038559,0.3789079600863488
"Infliximab (genetical recombination), Isoniazid",frozenset({'Methotrexate'}),0.0047666666666666664,0.0462,0.0047666666666666664,1.0,21.645021645021647,1.0,0.004546446666666666,inf,0.9583682218575209,0.10317460317460317,1.0,0.5515873015873016
"Methotrexate, Isoniazid",frozenset({'Infliximab (genetical recombination)'}),0.005,0.022266666666666667,0.0047666666666666664,0.9533333333333333,42.81437125748503,1.0,0.004655333333333333,20.951428571428536,0.9815511122043785,0.21185185185185182,0.952270557752625,0.5837025948103792
"Prednisolone, Isoniazid",frozenset({'Infliximab (genetical recombination)'}),0.005666666666666667,0.022266666666666667,0.0042,0.7411764705882352,33.2863684395914,1.0,0.004073822222222222,3.7776060606060593,0.9754854226862273,0.17696629213483142,0.7352820850145594,0.4648996125396266
"Infliximab (genetical recombination), Isoniazid",frozenset({'Prednisolone'}),0.0047666666666666664,0.091,0.0042,0.8811188811188811,9.682625067240453,1.0,0.003766233333333333,7.646294117647061,0.9010170702571144,0.045868219876228605,0.8692176909998692,0.4636363636363636
"Infliximab (genetical recombination), Loxoprofen sodium hydrate",frozenset({'Methotrexate'}),0.0054666666666666665,0.0462,0.005366666666666666,0.9817073170731707,21.24907612712491,1.0,0.0051141066666666665,52.14106666666662,0.9581771656067664,0.11591072714182864,0.980821259250546,0.5489344666173934
"Infliximab (genetical recombination), Loxoprofen sodium hydrate",frozenset({'Prednisolone'}),0.0054666666666666665,0.091,0.0047666666666666664,0.8719512195121951,9.581881533101045,1.0,0.0042692,7.098857142857143,0.900559421808919,0.051981097782624504,0.8591322546888835,0.46216608594657377
"Prednisolone, Infliximab (genetical recombination)",frozenset({'Methotrexate'}),0.017233333333333333,0.0462,0.015733333333333332,0.9129593810444874,19.761025563733494,1.0,0.014937153333333331,10.958102222222216,0.9660434884337253,0.32983927323549966,0.908743322546118,0.6267538607964139
"Infliximab (genetical recombination), Methotrexate",frozenset({'Prednisolone'}),0.0184,0.091,0.015733333333333332,0.8550724637681159,9.396400700748526,1.0,0.014058933333333332,6.2720999999999965,0.9103262746398133,0.16797153024911032,0.8405637665215796,0.5139831183309443
Infliximab (genetical recombination),"frozenset({'Prednisolone', 'Methotrexate'})",0.022266666666666667,0.0283,0.015733333333333332,0.7065868263473053,24.96773237976344,1.0,0.015103186666666666,3.3117122448979583,0.9818099397430238,0.4516746411483254,0.6980413979081047,0.631267500335019
"Teprenone, Infliximab (genetical recombination)",frozenset({'Methotrexate'}),0.0031,0.0462,0.003,0.967741935483871,20.94679514034353,1.0,0.00285678,29.567800000000027,0.9552211856755943,0.06479481641468683,0.9661794249149412,0.5163385002094679
"pneumonia, Infliximab (genetical recombination)",frozenset({'Methotrexate'}),0.0039,0.0462,0.0038,0.9743589743589745,21.090021090021093,1.0,0.00361982,37.198200000000135,0.9563138344807909,0.08207343412526998,0.9731169787785432,0.5283050283050283
"pneumonia, Methotrexate",frozenset({'Infliximab (genetical recombination)'}),0.0047,0.022266666666666667,0.0038,0.8085106382978723,36.310358007389475,1.0,0.0036953466666666667,5.105940740740739,0.9770517925477816,0.16402877697841728,0.8041497050639632,0.4895846604663014
"pneumonia, Infliximab (genetical recombination)",frozenset({'Prednisolone'}),0.0039,0.091,0.0036666666666666666,0.9401709401709402,10.331548793087254,1.0,0.0033117666666666666,15.193285714285713,0.9067453979611394,0.0401899890390939,0.9341814523332675,0.4902319902319902
"Prednisolone, Isoniazid",frozenset({'Methotrexate'}),0.005666666666666667,0.0462,0.0044,0.7764705882352941,16.80672268907563,1.0,0.0041382,4.267,0.945859872611465,0.09269662921348315,0.7656433091164753,0.4358543417366947
"Isoniazid, Methotrexate",frozenset({'Prednisolone'}),0.005,0.091,0.0044,0.88,9.670329670329672,1.0,0.003945000000000001,7.575,0.9010963910461399,0.048034934497816595,0.8679867986798679,0.4641758241758242
"Lansoprazole, Methotrexate",frozenset({'Prednisolone'}),0.0036,0.091,0.0032,0.888888888888889,9.768009768009769,1.0,0.0028724,8.181000000000004,0.9008681252509033,0.0350109409190372,0.8777655543332111,0.46202686202686205
"Loxoprofen sodium hydrate, Methotrexate",frozenset({'Prednisolone'}),0.009433333333333334,0.091,0.0072,0.7632508833922261,8.387372344969519,1.0,0.006341566666666666,3.839507462686567,0.8891608992981944,0.07722559885591705,0.7395499267241211,0.42118588125655265
"Rebamipide, Methotrexate",frozenset({'Prednisolone'}),0.0049,0.091,0.004166666666666667,0.8503401360544218,9.34439709949914,1.0,0.0037207666666666667,6.07377272727273,0.8973811677218371,0.045421511627906974,0.8353576854284068,0.44806384092098384
"Risedronate sodium hydrate, Methotrexate",frozenset({'Prednisolone'}),0.0037,0.091,0.0031333333333333335,0.8468468468468469,9.306009306009306,1.0,0.0027966333333333333,5.935235294117648,0.8958572249237071,0.03421914816163087,0.8315146829998316,0.44063954063954064
"Sulfasalazine, Methotrexate",frozenset({'Prednisolone'}),0.0049,0.091,0.004033333333333333,0.8231292517006803,9.045376392315168,1.0,0.0035874333333333333,5.139346153846155,0.89382602853154,0.04390420899854862,0.8054227191426626,0.4337257980115123
"Teprenone, Methotrexate",frozenset({'Prednisolone'}),0.005533333333333334,0.091,0.004366666666666666,0.789156626506024,8.67205084072554,1.0,0.0038631333333333327,4.311257142857142,0.8896095289610142,0.04737793851717902,0.7680490940660331,0.418570987245686
